@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
0.737962,0.013515,0.06927,0.038303,0.028762,0.094763,0.020781,0.057991,0.052321,0.023179,0.057988,0.043602,0.049837,0.035732,0.043868,0.010994,0.0067,0.054331,0.087079,0.049382,0.052897,0.041721,0.017248,0.006617,0.008918,0.018661,0.017515,0.005026,0.01942,0.024726,0.037288,0.013481,0.007238,0.013481,0.037288,0.024726,0.01942,0.005026,0.017515,0.018661,0.008918,0.006617,0.017248,0.041721,0.052897,0.049382,0.087079,0.054331,0.0067,0.010994,0.043868,0.035732,0.049837,0.043602,0.057988,0.023179,0.052321,0.057991,0.020781,0.094763,0.028762,0.038303,0.06927,0.013515,0.026663,standing
0.675953,0.048071,0.038058,0.05509,0.031425,0.028764,0.031565,0.019983,0.016666,0.038131,0.010406,0.033896,0.072471,0.02767,0.007168,0.019309,0.006984,0.022889,0.0422,0.046814,0.035133,0.01702,0.020052,0.013787,0.022269,0.007883,0.016358,0.03453,0.007014,0.008708,0.014839,0.009991,0.000227,0.009991,0.014839,0.008708,0.007014,0.03453,0.016358,0.007883,0.022269,0.013787,0.020052,0.01702,0.035133,0.046814,0.0422,0.022889,0.006984,0.019309,0.007168,0.02767,0.072471,0.033896,0.010406,0.038131,0.016666,0.019983,0.031565,0.028764,0.031425,0.05509,0.038058,0.048071,0.021388,standing
0.593951,0.0389,0.019273,0.029915,0.044938,0.045396,0.032763,0.040067,0.028644,0.016677,0.002449,0.046222,0.05679,0.040072,0.059841,0.005351,0.007264,0.011908,0.011196,0.029618,0.026034,0.002852,0.023877,0.018773,0.011379,0.018154,0.002902,0.010454,0.012187,0.011714,0.011121,0.014229,0.022628,0.014229,0.011121,0.011714,0.012187,0.010454,0.002902,0.018154,0.011379,0.018773,0.023877,0.002852,0.026034,0.029618,0.011196,0.011908,0.007264,0.005351,0.059841,0.040072,0.05679,0.046222,0.002449,0.016677,0.028644,0.040067,0.032763,0.045396,0.044938,0.029915,0.019273,0.0389,0.017785,standing
0.699891,0.046973,0.038965,0.060293,0.072777,0.031236,0.032143,0.021101,0.069341,0.031932,0.026379,0.045322,0.024279,0.068381,0.029289,0.01371,0.026371,0.036583,0.030265,0.016664,0.022738,0.00729,0.024314,0.008873,0.020863,0.024026,0.003038,0.013028,0.008527,0.00466,0.005889,0.011999,0.022417,0.011999,0.005889,0.00466,0.008527,0.013028,0.003038,0.024026,0.020863,0.008873,0.024314,0.00729,0.022738,0.016664,0.030265,0.036583,0.026371,0.01371,0.029289,0.068381,0.024279,0.045322,0.026379,0.031932,0.069341,0.021101,0.032143,0.031236,0.072777,0.060293,0.038965,0.046973,0.021948,standing
2.210606,0.309309,0.199494,0.158095,0.056831,0.130131,0.054258,0.081761,0.066883,0.097422,0.113152,0.029212,0.119971,0.08899,0.1062,0.122101,0.093003,0.32521,0.138488,0.161137,0.201103,0.126266,0.045584,0.081389,0.024365,0.080906,0.092179,0.053562,0.065917,0.02919,0.031646,0.034476,0.045361,0.034476,0.031646,0.02919,0.065917,0.053562,0.092179,0.080906,0.024365,0.081389,0.045584,0.126266,0.201103,0.161137,0.138488,0.32521,0.093003,0.122101,0.1062,0.08899,0.119971,0.029212,0.113152,0.097422,0.066883,0.081761,0.054258,0.130131,0.056831,0.158095,0.199494,0.309309,0.070837,standing
1.791619,0.170248,0.085721,0.088316,0.031753,0.054279,0.126482,0.059971,0.074772,0.095199,0.085035,0.041133,0.068071,0.120644,0.02742,0.057878,0.039455,0.195776,0.198642,0.064599,0.187254,0.107651,0.033628,0.065803,0.032452,0.085157,0.044246,0.051665,0.010228,0.024217,0.031035,0.044991,0.011734,0.044991,0.031035,0.024217,0.010228,0.051665,0.044246,0.085157,0.032452,0.065803,0.033628,0.107651,0.187254,0.064599,0.198642,0.195776,0.039455,0.057878,0.02742,0.120644,0.068071,0.041133,0.085035,0.095199,0.074772,0.059971,0.126482,0.054279,0.031753,0.088316,0.085721,0.170248,0.052795,standing
2.839378,0.518762,0.213398,0.215863,0.102469,0.077806,0.029841,0.101392,0.120592,0.071684,0.097719,0.019955,0.047824,0.080872,0.118246,0.047214,0.33735,0.48481,0.241507,0.197396,0.093391,0.115732,0.014039,0.082152,0.128179,0.109797,0.047652,0.056101,0.041252,0.126186,0.047464,0.059201,0.042003,0.059201,0.047464,0.126186,0.041252,0.056101,0.047652,0.109797,0.128179,0.082152,0.014039,0.115732,0.093391,0.197396,0.241507,0.48481,0.33735,0.047214,0.118246,0.080872,0.047824,0.019955,0.097719,0.071684,0.120592,0.101392,0.029841,0.077806,0.102469,0.215863,0.213398,0.518762,0.092158,standing
2.283642,0.379727,0.121756,0.130648,0.075449,0.13599,0.084008,0.047959,0.058701,0.034266,0.10881,0.042219,0.036021,0.102337,0.037414,0.136144,0.263935,0.308459,0.175115,0.152877,0.069004,0.201319,0.07782,0.025644,0.076207,0.078784,0.083313,0.070566,0.043884,0.055168,0.023427,0.036698,0.007417,0.036698,0.023427,0.055168,0.043884,0.070566,0.083313,0.078784,0.076207,0.025644,0.07782,0.201319,0.069004,0.152877,0.175115,0.308459,0.263935,0.136144,0.037414,0.102337,0.036021,0.042219,0.10881,0.034266,0.058701,0.047959,0.084008,0.13599,0.075449,0.130648,0.121756,0.379727,0.072158,standing
1.693356,0.143586,0.131771,0.079992,0.08813,0.09165,0.042103,0.060846,0.064893,0.027232,0.047254,0.020181,0.096165,0.073067,0.102794,0.099764,0.11122,0.120162,0.047004,0.129829,0.07981,0.141191,0.062569,0.00829,0.065593,0.060165,0.014704,0.018746,0.028586,0.030607,0.018971,0.007215,0.052658,0.007215,0.018971,0.030607,0.028586,0.018746,0.014704,0.060165,0.065593,0.00829,0.062569,0.141191,0.07981,0.129829,0.047004,0.120162,0.11122,0.099764,0.102794,0.073067,0.096165,0.020181,0.047254,0.027232,0.064893,0.060846,0.042103,0.09165,0.08813,0.079992,0.131771,0.143586,0.047902,standing
0.795607,0.093664,0.035714,0.06217,0.040884,0.042126,0.042935,0.045608,0.012951,0.019575,0.066583,0.043503,0.022998,0.034932,0.063472,0.024066,0.023788,0.035748,0.045372,0.010253,0.105124,0.043438,0.06285,0.059005,0.014068,0.039815,0.014152,0.04032,0.005458,0.003251,0.026931,0.016481,0.018838,0.016481,0.026931,0.003251,0.005458,0.04032,0.014152,0.039815,0.014068,0.059005,0.06285,0.043438,0.105124,0.010253,0.045372,0.035748,0.023788,0.024066,0.063472,0.034932,0.022998,0.043503,0.066583,0.019575,0.012951,0.045608,0.042935,0.042126,0.040884,0.06217,0.035714,0.093664,0.024962,standing
